run_id,timestamp,phase,note,features,classes,hidden_dims,hidden_activation,output_activation,init,l2,keep_prob,batch_norm,optimizer,learning_rate,lr_decay,decay_rate,batch_size,epochs,class_weights,seed,train_loss,train_acc,train_macro_f1,dev_loss,dev_acc,dev_macro_f1,dev_f1_per_class,baseline_acc,wall_clock
079645c5,2026-08-27T00:16:59,2,shallow sweep,waveform+rr,NV,4,tanh,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,1,0.009559,0.997055,0.98933,0.447059,0.828552,0.636278,0.9007|0.3718,0.92018,16.59
e659beb0,2026-08-27T00:17:16,2,shallow sweep,waveform+rr,NV,4,tanh,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,2,0.019783,0.994262,0.978949,0.289504,0.919106,0.727547,0.956|0.4991,0.92018,16.97
b9353442,2026-08-27T00:17:33,2,shallow sweep,waveform+rr,NV,4,tanh,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,3,0.010179,0.997233,0.99001,0.167332,0.938134,0.792435,0.9663|0.6185,0.92018,17.53
28d1526f,2026-08-27T00:17:45,2,shallow sweep,waveform+rr,NV,4,relu,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,1,0.007291,0.99807,0.993057,0.337396,0.872658,0.697623,0.9277|0.4676,0.92018,11.35
557a075a,2026-08-27T00:17:56,2,shallow sweep,waveform+rr,NV,4,relu,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,2,0.021661,0.993551,0.97646,0.381606,0.88749,0.606248,0.939|0.2735,0.92018,11.93
35915b6f,2026-08-27T00:18:13,2,shallow sweep,waveform+rr,NV,4,relu,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,3,0.009394,0.997613,0.991434,0.234947,0.906128,0.74307,0.9478|0.5384,0.92018,16.44
6b46e824,2026-08-27T00:18:33,2,shallow sweep,waveform+rr,NV,16,tanh,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,1,0.003247,0.999365,0.997723,0.218336,0.909348,0.759915,0.9493|0.5705,0.92018,20.54
92630f28,2026-08-27T00:18:54,2,shallow sweep,waveform+rr,NV,16,tanh,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,2,0.003791,0.999162,0.996988,0.167225,0.930035,0.775903,0.9618|0.5901,0.92018,20.52
e791e309,2026-08-27T00:19:13,2,shallow sweep,waveform+rr,NV,16,tanh,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,3,0.003737,0.998883,0.995982,0.352365,0.826405,0.65579,0.8981|0.4135,0.92018,18.88
3cce001e,2026-08-27T00:19:31,2,shallow sweep,waveform+rr,NV,16,relu,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,1,0.002833,0.999416,0.997901,0.460152,0.842506,0.665377,0.9088|0.4219,0.92018,18.11
