run_id,timestamp,phase,note,features,classes,hidden_dims,hidden_activation,output_activation,init,l2,keep_prob,batch_norm,optimizer,learning_rate,lr_decay,decay_rate,batch_size,epochs,class_weights,seed,train_loss,train_acc,train_macro_f1,dev_loss,dev_acc,dev_macro_f1,dev_f1_per_class,baseline_acc,wall_clock
079645c5,2026-08-27T00:16:59,2,shallow sweep,waveform+rr,NV,4,tanh,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,1,0.009559,0.997055,0.98933,0.447059,0.828552,0.636278,0.9007|0.3718,0.92018,16.59
e659beb0,2026-08-27T00:17:16,2,shallow sweep,waveform+rr,NV,4,tanh,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,2,0.019783,0.994262,0.978949,0.289504,0.919106,0.727547,0.956|0.4991,0.92018,16.97
b9353442,2026-08-27T00:17:33,2,shallow sweep,waveform+rr,NV,4,tanh,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,3,0.010179,0.997233,0.99001,0.167332,0.938134,0.792435,0.9663|0.6185,0.92018,17.53
28d1526f,2026-08-27T00:17:45,2,shallow sweep,waveform+rr,NV,4,relu,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,1,0.007291,0.99807,0.993057,0.337396,0.872658,0.697623,0.9277|0.4676,0.92018,11.35
557a075a,2026-08-27T00:17:56,2,shallow sweep,waveform+rr,NV,4,relu,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,2,0.021661,0.993551,0.97646,0.381606,0.88749,0.606248,0.939|0.2735,0.92018,11.93
35915b6f,2026-08-27T00:18:13,2,shallow sweep,waveform+rr,NV,4,relu,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,3,0.009394,0.997613,0.991434,0.234947,0.906128,0.74307,0.9478|0.5384,0.92018,16.44
6b46e824,2026-08-27T00:18:33,2,shallow sweep,waveform+rr,NV,16,tanh,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,1,0.003247,0.999365,0.997723,0.218336,0.909348,0.759915,0.9493|0.5705,0.92018,20.54
92630f28,2026-08-27T00:18:54,2,shallow sweep,waveform+rr,NV,16,tanh,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,2,0.003791,0.999162,0.996988,0.167225,0.930035,0.775903,0.9618|0.5901,0.92018,20.52
e791e309,2026-08-27T00:19:13,2,shallow sweep,waveform+rr,NV,16,tanh,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,3,0.003737,0.998883,0.995982,0.352365,0.826405,0.65579,0.8981|0.4135,0.92018,18.88
3cce001e,2026-08-27T00:19:31,2,shallow sweep,waveform+rr,NV,16,relu,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,1,0.002833,0.999416,0.997901,0.460152,0.842506,0.665377,0.9088|0.4219,0.92018,18.11
4a767d78,2026-08-27T00:19:49,2,shallow sweep,waveform+rr,NV,16,relu,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,2,0.003361,0.99901,0.996433,0.454509,0.865827,0.674254,0.9241|0.4244,0.92018,17.71
119ffd46,2026-08-27T00:20:08,2,shallow sweep,waveform+rr,NV,16,relu,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,3,0.003135,0.998959,0.996256,0.938848,0.811085,0.612532,0.8899|0.3352,0.92018,18.87
91911e2a,2026-08-27T00:20:42,2,shallow sweep,waveform+rr,NV,64,tanh,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,1,0.001964,0.999695,0.998907,0.346581,0.816062,0.658328,0.8905|0.4262,0.92018,34.5
ed76e208,2026-08-27T00:21:13,2,shallow sweep,waveform+rr,NV,64,tanh,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,2,0.002144,0.999619,0.998632,0.246532,0.880367,0.717618,0.932|0.5032,0.92018,30.92
344bea19,2026-08-27T00:21:46,2,shallow sweep,waveform+rr,NV,64,tanh,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,3,0.002014,0.999619,0.998632,0.222528,0.89959,0.749266,0.9434|0.5551,0.92018,33.11
7495e5c3,2026-08-27T00:22:11,2,shallow sweep,waveform+rr,NV,64,relu,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,1,0.002095,0.999543,0.998359,0.522618,0.834407,0.670216,0.9029|0.4375,0.92018,24.61
c3f53e9b,2026-08-27T00:22:36,2,shallow sweep,waveform+rr,NV,64,relu,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,2,0.002217,0.999492,0.998175,0.442448,0.840262,0.662338,0.9074|0.4172,0.92018,25.09
7f4b894c,2026-08-27T00:23:01,2,shallow sweep,waveform+rr,NV,64,relu,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,3,0.00197,0.999518,0.998268,0.602995,0.84192,0.684053,0.9074|0.4607,0.92018,25.27
42cafde8,2026-08-27T00:23:42,2,model 1 logistic regression,waveform+rr,NV,,tanh,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,1,0.037992,0.989692,0.962421,0.540501,0.878123,0.591762,0.9337|0.2498,0.92018,11.2
d1bdd90e,2026-08-27T00:23:54,2,model 1 logistic regression,waveform+rr,NV,,tanh,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,2,0.046799,0.986036,0.946854,0.544286,0.876464,0.600792,0.9325|0.2691,0.92018,11.81
ef4bcc5f,2026-08-27T00:24:06,2,model 1 logistic regression,waveform+rr,NV,,tanh,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,3,0.03802,0.990099,0.964128,0.492145,0.879196,0.5938,0.9343|0.2533,0.92018,11.99
594d95e1,2026-08-27T00:24:54,2,model 3 deep network,waveform+rr,NV,64-32,tanh,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,1,0.000924,0.999822,0.999363,0.362342,0.837237,0.673248,0.9047|0.4418,0.92018,48.67
a8a15040,2026-08-27T00:25:43,2,model 3 deep network,waveform+rr,NV,64-32,tanh,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,2,0.000815,0.999924,0.999727,0.840688,0.776835,0.622307,0.8639|0.3807,0.92018,48.65
a1b149f3,2026-08-27T00:26:31,2,model 3 deep network,waveform+rr,NV,64-32,tanh,sigmoid,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,3,0.000724,0.999898,0.999636,0.80198,0.784055,0.624268,0.8693|0.3792,0.92018,48.27
1cbc49d7,2026-08-27T00:46:00,3,4class with rr,waveform+rr,all,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,1,0.024646,0.992691,0.92971,0.487871,0.871023,0.363245,0.934|0.0|0.4882|0.0308,0.898266,20.0
f26a1cb0,2026-08-27T00:46:22,3,4class with rr,waveform+rr,all,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,2,0.023149,0.993728,0.943798,0.392454,0.900076,0.416142,0.9495|0.0155|0.6951|0.0045,0.898266,21.61
84f76f43,2026-08-27T00:46:44,3,4class with rr,waveform+rr,all,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,3,0.025906,0.992839,0.936098,0.343836,0.913888,0.425359,0.955|0.0348|0.7117|0.0,0.898266,22.67
ab8f7e90,2026-08-27T00:47:07,3,4class no rr,waveform,all,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,1,0.035771,0.989974,0.918284,0.585473,0.85864,0.348547,0.9248|0.0126|0.4568|0.0,0.898266,22.75
30a52b07,2026-08-27T00:47:30,3,4class no rr,waveform,all,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,2,0.03463,0.990542,0.922573,0.758757,0.777767,0.299309,0.8753|0.0148|0.3071|0.0,0.898266,22.72
f1ad6d36,2026-08-27T00:47:48,3,4class no rr,waveform,all,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,3,0.035514,0.990567,0.92028,0.863216,0.709849,0.306333,0.8265|0.0028|0.396|0.0,0.898266,18.21
1bf0aaa8,2026-08-27T00:48:51,3,4class no rr weighted,waveform,all,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,balanced,1,0.013396,0.944686,0.753231,0.131145,0.648504,0.306465,0.782|0.0095|0.3956|0.0387,0.898266,22.12
4baefa19,2026-08-27T00:49:11,3,4class no rr weighted,waveform,all,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,balanced,2,0.013847,0.931499,0.752417,0.184603,0.608592,0.261349,0.748|0.0144|0.2598|0.0233,0.898266,20.8
fc42dc42,2026-08-27T00:49:36,3,4class no rr weighted,waveform,all,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,balanced,3,0.012818,0.960169,0.819019,0.153506,0.541627,0.266035,0.6887|0.0189|0.3298|0.0267,0.898266,24.34
b3d33bcf,2026-08-27T00:49:58,3,4class with rr weighted,waveform+rr,all,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,balanced,1,0.010303,0.964836,0.804163,0.184603,0.68594,0.27876,0.8106|0.0073|0.2844|0.0127,0.898266,22.55
2fe55cf8,2026-08-27T00:50:11,3,4class with rr weighted,waveform+rr,all,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,balanced,2,0.010147,0.961181,0.8035,0.156159,0.681463,0.321873,0.8052|0.0326|0.4438|0.006,0.898266,12.3
279b073b,2026-08-27T00:50:34,3,4class with rr weighted,waveform+rr,all,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,balanced,3,0.009796,0.968343,0.828373,0.152756,0.803677,0.342939,0.8923|0.0233|0.4431|0.0131,0.898266,23.49
648e4f64,2026-08-27T00:51:20,3,4class rr only weighted,rr,all,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,balanced,1,0.064489,0.885075,0.538972,0.090735,0.908173,0.486298,0.9623|0.3597|0.6165|0.0066,0.898266,9.94
e9de3776,2026-08-27T00:51:31,3,4class rr only weighted,rr,all,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,balanced,2,0.063201,0.886112,0.542494,0.089783,0.910935,0.48182,0.9638|0.3432|0.6118|0.0085,0.898266,11.12
2d1dffa7,2026-08-27T00:51:44,3,4class rr only weighted,rr,all,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,balanced,3,0.062881,0.875914,0.53504,0.085301,0.896552,0.47248,0.9559|0.3131|0.6082|0.0127,0.898266,12.62
065f1c95,2026-08-27T01:07:34,4a,axis1 init,waveform+rr,all,False,16,tanh,softmax,zeros,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,1,0.403171,0.899299,0.236745,0.396623,0.898266,0.236602,0.9464|0.0|0.0|0.0,0.898266,20.81
1325f0f7,2026-08-27T01:07:57,4a,axis1 init,waveform+rr,all,False,16,tanh,softmax,zeros,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,2,0.403187,0.899299,0.236745,0.396576,0.898266,0.236602,0.9464|0.0|0.0|0.0,0.898266,23.82
5bf9ad2a,2026-08-27T01:08:22,4a,axis1 init,waveform+rr,all,False,16,tanh,softmax,zeros,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,3,0.403157,0.899299,0.236745,0.396554,0.898266,0.236602,0.9464|0.0|0.0|0.0,0.898266,24.2
406ad97b,2026-08-27T01:08:47,4a,axis1 init,waveform+rr,all,False,16,tanh,softmax,random,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,1,0.036059,0.989727,0.91149,0.672055,0.78453,0.310543,0.878|0.0|0.3642|0.0,0.898266,24.93
f5772bf4,2026-08-27T01:09:01,4a,axis1 init,waveform+rr,all,False,16,tanh,softmax,random,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,2,0.020606,0.993999,0.9459,0.406504,0.883121,0.373011,0.9426|0.0169|0.5075|0.025,0.898266,14.43
5c9ee8ed,2026-08-27T01:09:23,4a,axis1 init,waveform+rr,all,False,16,tanh,softmax,random,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,3,0.021996,0.993481,0.942078,0.355606,0.90141,0.386249,0.9517|0.0|0.5933|0.0,0.898266,22.13
cd967fa7,2026-08-27T01:09:48,4a,axis1 init,waveform+rr,all,False,16,tanh,softmax,xavier,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,1,0.02392,0.992444,0.936291,0.754461,0.780149,0.321249,0.8748|0.0087|0.3703|0.0312,0.898266,25.25
24800f38,2026-08-27T01:10:13,4a,axis1 init,waveform+rr,all,False,16,tanh,softmax,xavier,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,2,0.021814,0.993629,0.939535,0.311028,0.92751,0.416063,0.9641|0.0129|0.6872|0.0,0.898266,25.01
